trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.371659872260533}",20,5,-19.917673264561735,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.3623577544766736}",30,18,2.0561986988458236,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.35301940121933034}",20,12,4.717085919607401,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.34364574631604705}",20,12,-13.20891002240537,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.3342377271245026}",20,13,14.813990568056067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.32479628443877623}",20,0,-119.22041169491844,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.3153223623952687}",20,0,13.93875436708737,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.3058169083782893}",20,2,-114.52971604585434,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
128,False,"{'a': 0.5, 'e': 0.2962808729253187}",20,7,11.91973010765426,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.28671520963195546}",25,10,0.6017325845459653,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2771208750565576}",25,0,-23.594527656670362,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,0,10.026278785596165,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.2578500325326696}",20,0,-14.696879531280954,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.2481754516523729}",20,0,-15.142481866428447,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.23847605343372313}",20,14,13.455968109141184,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.22875280780845939}",25,16,-29.696709372698407,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,8,-17.916482528931088,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.20923866589141926}",30,0,10.698985503454587,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.19944972099757285}",20,13,-32.141234680256574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,12,15.835299432215582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.17981297767299934}",20,6,-6.4966401007938455,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16996714290024081}",30,20,18.118036276546373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.16010431155483126}",25,0,22.571393229361924,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.15022546991168584}",25,14,19.574980573119547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.1403316058467367}",20,12,13.221547939943664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.13042370873814554}",20,9,-0.13346903384962872,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.1205027693673666}",20,12,16.591378556943187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.11056977982006957}",20,16,7.3612616452379,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.10062573338693172}",20,11,17.7600948674581,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.09067162446430967}",20,0,21.5336824535779,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.08070844845480062}",25,11,29.137536641883326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,13,31.400608021514486,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.0607588812193859}",20,0,0.587697111940832,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.05077448493357918}",25,11,1.7516237484148487,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.040785011241591035}",25,20,6.384969125322609,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.030791459082466124}",20,10,19.68021702317433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.02079482780309243}",30,24,12.000894748181551,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.010796117058267392}",20,7,22.320391709963282,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.0007963267107332633}",30,12,36.049630493166,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
